Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
45;105;20.2;3.0;59.19999999999999;31.26;8.0;18.46;6.3999999999999995;2.6000000000000005;15.600000000000003;15.410000000000002;212.69;100.36;2.304619225967541;1.9475655430711616;1.1825752722613707;2.8798751950078008;3.902621722846442;60
45;106;33.199999999999996;3.6;79.4;41.81;6.400000000000001;10.33;6.400000000000001;2.4000000000000004;9.2;6.51;149.82;74.23;1.6115444617784709;1.4352574102964115;1.1216069489685125;1.6115444617784709;6.5226209048361925;61
46;107;34.2;2.8;86.79999999999998;29.75;5.2;11.37;5.799999999999999;2.4;11.8;8.46;157.32;96.53;2.182341650671785;2.264875239923225;0.9627434377646061;1.9569707401032705;5.710172744721689;61
45;108;36.0;3.8;84.6;34.3;6.8;13.319999999999999;7.2;2.4;14.6;10.479999999999999;133.45;103.62;1.9559471365638765;2.143906020558003;0.9117043121149897;1.8474341192787793;5.036710719530102;63
50;109;32.0;4.0;82.4;45.129999999999995;6.199999999999999;7.85;5.26;2.6000000000000005;9.0;5.42;119.93;89.42;1.2640901771336555;1.4492753623188408;0.8712541620421753;1.4895635673624288;7.26731078904992;59
46;110;47.400000000000006;4.0;80.6;38.9;5.6;11.41;6.0;1.8133400000000002;9.8;8.23;131.2;100.22;2.0338680926916224;1.7468805704099826;1.163098878695209;1.8985024958402663;6.934046345811052;64
50;109;35.6;3.400000000000001;79.6;57.65;8.6;18.509999999999998;6.9;2.1999999999999997;16.0;13.170000000000002;133.58;101.52;2.1498257839721253;1.8583042973286876;1.1561524047470328;2.6787264833574524;6.695702671312428;59
46;108;32.7;2.4000000000000004;75.0;33.209999999999994;8.8;15.430000000000001;5.6;2.4000000000000004;15.0;11.489999999999998;48.46;98.54;1.7514188422247448;1.70261066969353;1.027981345769487;2.7504456327985745;3.769580022701475;62
45;108;36.2;1.8342399999999999;79.0;26.419999999999998;8.8;14.45;6.2;3.0;18.0;11.3;190.61;105.68;1.6401816118047672;2.043132803632236;0.8023320377568016;2.3268921095008053;2.998864926220204;63
45;106;25.2;3.0;84.0;29.130000000000006;9.0;17.0;7.1;3.2;22.0;15.219999999999999;198.73;102.44;1.8867924528301887;2.4417314095449503;0.7723761926397091;2.3909985935302394;3.2330743618202007;61
45;107;32.4;2.8000000000000003;93.6;40.9;10.0;18.97;6.9;3.2;21.2;14.11;228.91;113.41;1.895104895104895;2.1178821178821177;0.8943894389438943;2.745296671490593;4.0859140859140854;62
46;104;31.8;2.5999999999999996;84.20000000000002;31.529999999999994;7.6;17.610000000000003;7.299999999999999;3.0;20.2;14.329999999999998;290.39;100.35;2.3140604467805526;2.654402102496715;0.8713508164275112;2.4090287277701785;4.14323258869908;58
45;107;23.6;3.0;77.2;31.479999999999997;11.600000000000001;16.55;5.700000000000001;2.4000000000000004;19.6;12.129999999999999;270.51;104.25;1.425495262704565;1.6881998277347114;0.8439571647118816;2.898423817863397;2.7114556416881994;62
46;109;35.4;3.8;91.0;47.92;11.799999999999999;26.2;7.2;2.8;23.0;20.15;280.89;126.93;2.218458933107536;1.9475021168501272;1.1386353759235115;3.6338418862690705;4.0575783234547;63
50;108;41.2;4.0;89.4;29.8;3.6;6.38;8.0;2.2;4.0;3.75;176.45;100.8;1.7673130193905817;1.10803324099723;1.5910224438902745;0.7965043695380775;8.254847645429363;58
46;108;28.0;5.6000000000000005;86.40000000000002;60.61999999999999;12.0;27.72;8.0;2.8;20.799999999999997;21.65;166.49;87.42;2.3080766028309743;1.7318900915903412;1.332051898125901;3.460674157303371;5.047460449625311;62
45;107;27.200000000000006;2.4000000000000004;78.8;38.730000000000004;15.2;25.869999999999997;6.6;2.6000000000000005;28.8;19.36;403.76;74.53;1.7008547008547008;1.8934911242603552;0.8979520999652897;3.913767019667171;2.5463510848126236;62
47;108;26.6;3.8;72.8;49.849999999999994;14.6;31.97;7.2;2.8;26.0;22.929999999999996;133.8;89.9;2.188227241615332;1.7796030116358659;1.2291426374471357;4.434119278779473;3.412046543463381;61
48;110;24.2;2.6;83.4;44.85;12.0;24.790000000000003;9.2;3.8000000000000007;25.200000000000003;18.0;244.11;62.3;2.0641132389675274;2.098251457119068;0.9833399444664815;2.6916395222584155;3.7343880099916738;62
45;108;35.2;3.0;77.20000000000002;37.14;10.4;17.31;8.0;3.2000000000000006;17.6;15.51;247.58;78.22;1.6628242074927952;1.6906820365033624;0.9829642248722315;2.1610486891385765;3.5677233429394812;63
51;109;47.8;4.2;91.4;30.93;3.7999999999999994;9.36;6.2;2.2;8.2;7.7;138.51;119.0;2.4566929133858273;2.1522309711286094;1.1400730816077955;1.507246376811594;8.118110236220474;58
50;108;46.4;3.4;97.39999999999999;38.72;8.2;13.95;6.9;2.8;16.6;10.64;151.63;121.74;1.6991473812423874;2.021924482338612;0.8398555087296807;2.0188133140376263;4.716199756394641;58
46;108;49.4;5.0;94.80000000000001;60.06;6.4;17.35;9.1;2.8;12.4;14.220000000000002;199.97;102.33;2.7067082683307335;1.934477379095164;1.3980660757453667;1.9045005488474207;9.369734789391575;62
50;107;51.6;3.2;107.6;35.64;5.8;10.469999999999999;7.700000000000001;2.8000000000000003;9.6;7.119999999999999;183.33;90.88;1.802065404475043;1.6523235800344234;1.0894901144640998;1.3579766536964977;6.134251290877797;57
51;105;55.4;3.0;96.6;25.630000000000003;3.8;8.549999999999999;5.5;2.2;7.599999999999999;6.15;137.83;115.45;2.2440944881889764;1.9947506561679789;1.123521681997372;1.5517241379310343;6.72703412073491;54
